"location","total_office_work_posts","remote_work_posts","remote_work_ratio"
"Armenia","199","111","55.78%"
"Ukraine","1301","412","31.67%"
"Turkey","1148","304","26.48%"
"Brazil","5121","1269","24.78%"
"Bulgaria","879","211","24.00%"
"Russia","2941","691","23.50%"
"Serbia","558","129","23.12%"
"Kazakhstan","514","118","22.96%"
"Romania","2801","640","22.85%"
"Canada","12863","2159","16.78%"
"Argentina","6425","992","15.44%"
"Slovakia","674","104","15.43%"
"Pakistan","1576","236","14.97%"
"Poland","10892","1573","14.44%"
"Peru","4472","622","13.91%"
